timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
25.361,-0.017807,-0.048286,-0.024121,0.008248,idle,0,0.019000000000001904
25.381,-0.044365,-0.00598,-0.037492,0.005402,idle,0,0.019999999999999574
25.401,0.041383,-0.07221,-0.093238,-0.01012,idle,0,0.019999999999999574
25.421,-0.08663,0.093802,-0.014045,0.010664,idle,0,0.019999999999999574
25.441,0.005558,0.108994,0.197191,0.03033,idle,0,0.019999999999999574
25.461,0.02812,-0.045847,-0.021896,0.015095,idle,0,0.019999999999999574
25.481,0.030262,-0.092849,-0.00747,-0.006494,idle,0,0.020000000000003126
25.501,-0.022185,-0.013403,-0.056948,-0.007876,idle,0,0.019999999999999574
25.52,-0.037641,0.040555,0.073299,0.00181,idle,0,0.01899999999999835
25.54,0.013139,0.008679,-0.083078,0.003184,idle,0,0.019999999999999574
25.56,0.014834,-0.05179,-0.007467,-0.007811,idle,0,0.019999999999999574
25.58,-0.004541,0.06217,0.122754,0.006185,idle,0,0.019999999999999574
25.6,0.05784,-0.036709,-0.0189,-0.002393,idle,0,0.020000000000003126
25.621,0.030083,-0.037043,-0.08827,-0.009323,idle,0,0.020999999999997243
25.64,0.000555,-0.005954,0.09259,-0.008649,idle,0,0.019000000000001904
25.659,0.000402,0.023718,0.084509,-0.002176,idle,0,0.01899999999999835
25.68,0.031644,0.006193,-0.072676,-0.000502,idle,0,0.021000000000000796
25.699,0.017801,-0.015648,-0.095112,-0.003531,idle,0,0.019000000000001904
25.719,0.014283,0.013578,0.161523,-0.00011,idle,0,0.019999999999999574
25.739,0.015339,0.059601,0.068067,0.011832,idle,0,0.019999999999999574
25.759,-0.005192,-0.041925,-0.124336,0.001081,idle,0,0.019999999999999574
25.779,0.135558,-0.065028,-0.053607,-0.012141,idle,0,0.019999999999999574
25.798,0.00214,0.041756,0.211894,-0.001361,idle,0,0.01899999999999835
25.818,-0.032675,0.028119,-0.074465,0.004535,idle,0,0.020000000000003126
25.838,0.045759,-0.065477,-0.101083,-0.009468,idle,0,0.019999999999999574
25.858,0.126421,-0.021593,0.098115,-0.011893,idle,0,0.019999999999999574
25.878,0.067479,-0.010246,0.250444,-0.011563,idle,0,0.019999999999999574
25.898,-0.019602,0.123516,-0.026516,0.015453,idle,0,0.019999999999999574
25.918,0.072744,-0.005464,-0.081034,0.011269,idle,0,0.019999999999999574
25.937,0.115284,-0.123324,-0.077208,-0.015649,idle,0,0.019000000000001904
25.957,0.100409,-0.135357,0.196222,-0.039591,idle,0,0.019999999999999574
25.977,0.01503,0.109555,0.118492,-0.009762,idle,0,0.019999999999999574
25.997,-0.025881,0.166023,-0.039267,0.025395,idle,0,0.019999999999999574
26.017,0.08703,-0.06022,-0.00796,0.008272,idle,0,0.019999999999999574
26.037,0.094343,-0.222648,-0.061258,-0.037912,idle,0,0.019999999999999574
26.057,0.043462,-0.043717,0.029174,-0.039073,idle,0,0.019999999999999574
26.077,-0.041898,0.274005,0.086332,0.023543,idle,0,0.020000000000003126
26.097,0.015128,0.015738,-0.009871,0.021982,idle,0,0.019999999999999574
26.117,0.066306,-0.106013,0.026949,-0.003617,idle,0,0.019999999999999574
26.136,0.025838,-0.071053,-0.067434,-0.017104,idle,0,0.01899999999999835
26.156,-0.028983,0.07374,-0.0614,0.001065,idle,0,0.019999999999999574
26.176,-0.011767,0.041903,0.048313,0.009232,idle,0,0.019999999999999574
26.196,0.069969,-0.059773,0.044701,-0.004569,idle,0,0.020000000000003126
26.216,0.02547,-0.054463,-0.087691,-0.014548,idle,0,0.019999999999999574
26.236,-0.022065,0.021888,-0.048699,-0.00726,idle,0,0.019999999999999574
26.255,-0.03177,0.039491,0.028076,0.00209,idle,0,0.01899999999999835
26.275,0.009986,0.024254,0.074789,0.006523,idle,0,0.019999999999999574
26.295,-0.005676,-0.015856,-0.073241,0.002047,idle,0,0.020000000000003126
26.315,-0.001718,-0.054502,-0.103612,-0.009263,idle,0,0.019999999999999574
26.335,-0.029252,0.015291,0.117966,-0.004352,idle,0,0.019999999999999574
26.355,0.01482,-0.011094,0.053743,-0.0057,idle,0,0.019999999999999574
26.375,-0.026594,0.076943,-0.031562,0.010828,idle,0,0.019999999999999574
26.395,0.007058,-0.022986,-0.171854,0.004065,idle,0,0.019999999999999574
26.415,0.022538,-0.045066,0.055615,-0.005761,idle,0,0.019999999999999574
26.435,0.034021,-0.032219,0.138109,-0.011053,idle,0,0.019999999999999574
26.454,-0.023557,0.053308,0.052672,0.00182,idle,0,0.019000000000001904
26.474,-0.0124,0.087287,-0.06714,0.018913,idle,0,0.019999999999999574
26.494,0.02929,-0.054556,-0.008838,0.004219,idle,0,0.019999999999999574
26.514,0.054659,-0.063601,0.059929,-0.009345,idle,0,0.019999999999999574
26.534,0.003456,0.009346,0.073352,-0.005607,idle,0,0.019999999999999574
26.554,-0.034956,0.140039,-0.029952,0.023523,idle,0,0.019999999999999574
26.574,0.013425,-0.009636,-0.041204,0.016891,idle,0,0.020000000000003126
26.593,0.058297,-0.060457,0.033335,0.001421,idle,0,0.01899999999999835
26.613,0.018969,-0.013317,0.011946,-0.001526,idle,0,0.019999999999999574
26.633,-0.048767,0.091506,0.028344,0.01708,idle,0,0.019999999999999574
26.653,-0.028755,0.044085,0.00849,0.022481,idle,0,0.019999999999999574
26.673,0.06641,-0.0566,-0.005016,0.006665,idle,0,0.019999999999999574
26.693,0.010709,-0.02047,0.060992,0.001238,idle,0,0.020000000000003126
26.713,-0.026824,0.074678,0.009287,0.015926,idle,0,0.019999999999999574
26.732,-0.030297,0.033813,-0.041439,0.019503,idle,0,0.01899999999999835
26.752,0.065332,-0.045409,0.04906,0.006521,idle,0,0.019999999999999574
26.772,0.051146,-0.018376,0.05966,0.001542,idle,0,0.019999999999999574
26.792,-0.010922,0.049317,0.008767,0.011097,idle,0,0.020000000000003126
26.812,0.009027,-0.011811,-0.024668,0.006515,idle,0,0.019999999999999574
26.833,0.087401,0.002798,0.069832,0.005772,idle,0,0.020999999999997243
26.852,0.104315,-0.007142,0.090464,0.003189,idle,0,0.019000000000001904
