timestamp,accX,accY,accZ,filteredAccY,phase,repCount
20.098,-0.212259,-0.030419,0.155839,-0.046556,bottom,0
20.118,-0.136758,-0.011458,0.105571,-0.039536,bottom,0
20.138,-0.057266,-0.022110,0.063014,-0.036051,bottom,0
20.158,-0.100802,-0.011459,0.106894,-0.031132,bottom,0
20.178,-0.109256,0.030755,0.181213,-0.018755,bottom,0
20.198,-0.001506,0.067180,0.000050,-0.001568,bottom,0
20.217,0.062904,0.110766,-0.077312,0.020899,bottom,0
20.238,0.033335,0.025316,-0.030638,0.021782,bottom,0
20.258,0.013658,0.005786,0.122187,0.018583,bottom,0
20.278,0.033335,0.034129,0.109631,0.021692,bottom,0
20.297,0.044305,0.291925,-0.055819,0.075739,bottom,0
20.317,-0.004214,0.124512,-0.091343,0.085493,bottom,0
20.337,0.021256,-0.073661,0.056209,0.053662,bottom,0
20.357,0.088363,-0.016040,0.105833,0.039722,bottom,0
20.377,0.116142,0.070734,0.121662,0.045924,bottom,0
20.397,0.192303,0.085570,0.012795,0.053853,bottom,0
20.417,0.241975,0.098732,-0.060462,0.062829,bottom,0
20.436,0.185979,0.139689,-0.072603,0.078201,bottom,0
20.457,0.156255,0.091137,-0.006938,0.080788,bottom,0
20.476,0.148653,0.021648,0.075662,0.068960,bottom,0
20.496,0.143772,-0.018258,0.022396,0.051517,bottom,0
20.516,0.167012,0.004495,-0.053051,0.042112,bottom,0
20.536,0.047042,-0.019585,-0.124524,0.029773,bottom,0
20.556,-0.029958,-0.184634,-0.048243,-0.013109,bottom,0
20.575,-0.005966,-0.134218,-0.007541,-0.037331,bottom,0
20.595,0.093252,-0.071506,-0.102349,-0.044166,bottom,0
20.615,0.017137,-0.088134,-0.041849,-0.052959,bottom,0
20.635,-0.155923,0.038658,-0.022272,-0.034636,bottom,0
20.655,-0.126043,0.117034,-0.039455,-0.004302,bottom,0
20.674,0.017107,-0.217502,-0.111967,-0.046942,bottom,0
20.695,0.081158,-0.118287,-0.142745,-0.061211,bottom,0
20.714,0.119612,0.043415,-0.062178,-0.040286,bottom,0
20.734,0.001501,0.144460,0.035239,-0.003336,bottom,0
20.754,-0.059307,0.311992,-0.017506,0.059729,bottom,0
20.774,-0.037489,0.331149,-0.097292,0.114013,bottom,0
20.794,-0.012794,0.157870,-0.078605,0.122785,bottom,0
20.814,-0.078710,-0.065688,-0.018740,0.085090,bottom,0
20.834,-0.092112,-0.189842,0.030096,0.030104,bottom,0
20.854,-0.069920,-0.251986,0.058083,-0.026314,bottom,0
20.873,-0.114875,-0.020064,0.011545,-0.025064,bottom,0
20.893,-0.037058,-0.137654,-0.067560,-0.047582,bottom,0
20.913,0.053840,-0.379792,0.208303,-0.114024,bottom,0
20.933,0.138110,-0.088718,0.110138,-0.108963,bottom,0
20.953,0.157966,0.239655,-0.189584,-0.039239,bottom,0
20.973,0.012674,0.408459,-0.298787,0.050300,bottom,0
20.993,-0.042645,-0.186644,0.087054,0.002911,bottom,0
21.013,0.003538,-0.286424,0.310321,-0.054956,bottom,0
21.032,0.125472,0.119876,-0.058347,-0.019989,bottom,0
21.052,0.124269,0.022965,-0.116476,-0.011399,bottom,0
21.072,0.048714,-0.277661,0.082841,-0.064651,bottom,0
21.092,-0.033762,-0.144751,0.224115,-0.080671,bottom,0
21.112,-0.173614,0.133280,0.154737,-0.037881,bottom,0
21.132,-0.090287,0.112971,0.112818,-0.007710,bottom,0
21.151,-0.006685,-0.025508,0.093047,-0.011270,bottom,0
21.171,-0.076535,0.333840,-0.049259,0.057752,bottom,0
21.194,-0.170260,0.438158,-0.158282,0.133833,bottom,0
21.211,-0.072646,0.070825,-0.092953,0.121232,bottom,0
21.231,0.027042,-0.059103,-0.230275,0.085165,bottom,0
21.251,-0.057339,-0.262840,-0.157464,0.015564,bottom,0
21.271,-0.208750,0.092096,-0.149240,0.030870,bottom,0
21.291,-0.196284,0.152836,-0.028600,0.055263,bottom,0
21.310,-0.108566,-0.029495,0.038346,0.038312,bottom,0
21.330,0.040858,0.161214,-0.169137,0.062892,bottom,0
