timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
159.138,0.00954,0.068259,0.088807,-0.064248,idle,5,0.019000000000005457,0.10827234653154462
159.158,0.063462,0.058057,0.073995,-0.039787,idle,5,0.01999999999998181,0.10834217704392032
159.178,0.088892,0.108633,-0.047492,-0.010103,idle,5,0.020000000000010232,0.1083245036745565
159.198,0.076532,0.111814,-0.122221,0.014281,idle,5,0.020000000000010232,0.10817321018973897
159.218,0.103265,0.220085,-0.087427,0.055441,idle,5,0.01999999999998181,0.10825626815257784
159.238,0.09398,0.115967,-0.074071,0.067547,idle,5,0.020000000000010232,0.10842447078346454
159.258,-0.006664,0.168061,0.025643,0.087649,idle,5,0.020000000000010232,0.10869932087391167
159.278,-0.047061,0.109397,0.000525,0.091999,idle,5,0.01999999999998181,0.10903222566257399
159.298,-0.00952,0.042915,-0.06637,0.082182,idle,5,0.020000000000010232,0.10928780735618053
159.317,0.060159,-0.022615,-0.116097,0.061223,idle,5,0.019000000000005457,0.10940663097763857
159.337,-0.013574,-0.017915,-0.014177,0.045395,idle,5,0.01999999999998181,0.1093544954746861
159.357,-0.144585,0.048602,0.039546,0.046037,idle,5,0.020000000000010232,0.10920890780618636
159.377,-0.206127,0.043757,-0.009433,0.045581,idle,5,0.020000000000010232,0.10914003734506061
159.397,-0.168589,-0.034392,-0.059632,0.029586,idle,5,0.01999999999998181,0.10893398710031747
159.417,-0.166572,-0.054998,-0.021438,0.012669,idle,5,0.020000000000010232,0.1084885023284766
159.437,-0.087627,0.007763,-0.029642,0.011688,idle,5,0.020000000000010232,0.1077804592279111
159.457,-0.05746,-0.049493,0.030361,-0.000548,idle,5,0.01999999999998181,0.10705314638261731
159.476,-0.132813,-0.008605,0.008363,-0.00216,idle,5,0.019000000000005457,0.10652898540455384
159.497,-0.1215,0.000443,0.02109,-0.001639,idle,5,0.021000000000015007,0.10611448562108466
159.516,-0.015707,0.007553,0.131919,0.000199,idle,5,0.018999999999977035,0.10565399006431662
159.536,-0.004423,-0.106972,0.006755,-0.021235,idle,5,0.020000000000010232,0.10535028526407429
159.556,0.13567,0.007954,-0.035275,-0.015397,idle,5,0.020000000000010232,0.10524026701853688
